Model,Accuracy,Precision,Recall,F1-Score,MSE,MAE,RMSE
SVM,0.64,0.5784534872805782,0.64,0.5691029419835549,1.6411111111111112,0.7233333333333334,1.2810585900383757
Logistic Regression,0.6133333333333333,0.5777438556067589,0.6133333333333333,0.5172725307256066,1.451273304079728,1.0118969816724517,1.2046880526010575
Naive Bayes,0.61,0.49866430260047273,0.61,0.520485380116959,1.2449842094647983,0.8314858670733553,1.1157886042906149
Neural Network (CNN),0.6033333333333334,0.6019406616374383,0.6033333333333334,0.5852519304594775,1.4880650574363907,1.0198560885588328,1.2198627207339319
Random Forest,0.5566666666666666,0.4375844425790462,0.5566666666666666,0.44478802952759044,1.6020550099997841,1.059132878982643,1.2657231174312114
Ridge Regression,0.31666666666666665,0.7304761904761905,0.31666666666666665,0.28977645502645505,1.1667318769213098,0.887579055708141,1.0801536357950705
